Microsoft (R) COFF/PE Dumper Version 14.00.23026.0
Copyright (C) Microsoft Corporation.  All rights reserved.
        379  172 000A6DA0 NtLockVirtualMemory = NtLockVirtualMemory
        380  173 000A6DC0 NtMakePermanentObject = NtMakePermanentObject
        381  174 000A6DE0 NtMakeTemporaryObject = NtMakeTemporaryObject
        382  175 000A6E00 NtManagePartition = NtManagePartition
        383  176 000A6E20 NtMapCMFModule = NtMapCMFModule
        384  177 000A6E40 NtMapUserPhysicalPages = NtMapUserPhysicalPages
        385  178 000A4E30 NtMapUserPhysicalPagesScatter = NtMapUserPhysicalPagesScatter
        386  179 000A52D0 NtMapViewOfSection = NtMapViewOfSection
        387  17A 000A6E60 NtModifyBootEntry = NtModifyBootEntry
        388  17B 000A6E80 NtModifyDriverEntry = NtModifyDriverEntry
        389  17C 000A6EA0 NtNotifyChangeDirectoryFile = NtNotifyChangeDirectoryFile
        390  17D 000A6EC0 NtNotifyChangeKey = NtNotifyChangeKey
        391  17E 000A6EE0 NtNotifyChangeMultipleKeys = NtNotifyChangeMultipleKeys
        392  17F 000A6F00 NtNotifyChangeSession = NtNotifyChangeSession
        393  180 000A58D0 NtOpenDirectoryObject = NtOpenDirectoryObject
        394  181 000A6F20 NtOpenEnlistment = NtOpenEnlistment
        395  182 000A55D0 NtOpenEvent = NtOpenEvent
        396  183 000A6F40 NtOpenEventPair = NtOpenEventPair
        397  184 000A5430 NtOpenFile = NtOpenFile
        398  185 000A6F60 NtOpenIoCompletion = NtOpenIoCompletion
        399  186 000A6F80 NtOpenJobObject = NtOpenJobObject
        400  187 000A5010 NtOpenKey = NtOpenKey
        401  188 000A6FA0 NtOpenKeyEx = NtOpenKeyEx
        402  189 000A6FC0 NtOpenKeyTransacted = NtOpenKeyTransacted
        403  18A 000A6FE0 NtOpenKeyTransactedEx = NtOpenKeyTransactedEx
        404  18B 000A7000 NtOpenKeyedEvent = NtOpenKeyedEvent
        405  18C 000A7020 NtOpenMutant = NtOpenMutant
        406  18D 000A7040 NtOpenObjectAuditAlarm = NtOpenObjectAuditAlarm
        407  18E 000A7060 NtOpenPartition = NtOpenPartition
        408  18F 000A7080 NtOpenPrivateNamespace = NtOpenPrivateNamespace
        409  190 000A5290 NtOpenProcess = NtOpenProcess
        410  191 000A70A0 NtOpenProcessToken = NtOpenProcessToken
        411  192 000A53D0 NtOpenProcessTokenEx = NtOpenProcessTokenEx
        412  193 000A70C0 NtOpenResourceManager = NtOpenResourceManager
        413  194 000A54B0 NtOpenSection = NtOpenSection
        414  195 000A70E0 NtOpenSemaphore = NtOpenSemaphore
        415  196 000A7100 NtOpenSession = NtOpenSession
        416  197 000A7120 NtOpenSymbolicLinkObject = NtOpenSymbolicLinkObject
        417  198 000A7140 NtOpenThread = NtOpenThread
        418  199 000A5250 NtOpenThreadToken = NtOpenThreadToken
        419  19A 000A53B0 NtOpenThreadTokenEx = NtOpenThreadTokenEx
        420  19B 000A7160 NtOpenTimer = NtOpenTimer
        421  19C 000A7180 NtOpenTransaction = NtOpenTransaction
        422  19D 000A71A0 NtOpenTransactionManager = NtOpenTransactionManager
        423  19E 000A71C0 NtPlugPlayControl = NtPlugPlayControl
        424  19F 000A59A0 NtPowerInformation = NtPowerInformation
        425  1A0 000A71E0 NtPrePrepareComplete = NtPrePrepareComplete
        426  1A1 000A7200 NtPrePrepareEnlistment = NtPrePrepareEnlistment
        427  1A2 000A7220 NtPrepareComplete = NtPrepareComplete
        428  1A3 000A7240 NtPrepareEnlistment = NtPrepareEnlistment
        429  1A4 000A7260 NtPrivilegeCheck = NtPrivilegeCheck
        430  1A5 000A7280 NtPrivilegeObjectAuditAlarm = NtPrivilegeObjectAuditAlarm
        431  1A6 000A72A0 NtPrivilegedServiceAuditAlarm = NtPrivilegedServiceAuditAlarm
        432  1A7 000A72C0 NtPropagationComplete = NtPropagationComplete
        433  1A8 000A72E0 NtPropagationFailed = NtPropagationFailed
        434  1A9 000A57D0 NtProtectVirtualMemory = NtProtectVirtualMemory
        435  1AA 000A7300 NtPulseEvent = NtPulseEvent
        436  1AB 000A5570 NtQueryAttributesFile = NtQueryAttributesFile
        437  1AC 000A7320 NtQueryBootEntryOrder = NtQueryBootEntryOrder
        438  1AD 000A7340 NtQueryBootOptions = NtQueryBootOptions
        439  1AE 000A7360 NtQueryDebugFilterState = NtQueryDebugFilterState
        440  1AF 000A5070 NtQueryDefaultLocale = NtQueryDefaultLocale
        441  1B0 000A5650 NtQueryDefaultUILanguage = NtQueryDefaultUILanguage
        442  1B1 000A5470 NtQueryDirectoryFile = NtQueryDirectoryFile
        443  1B2 000A7380 NtQueryDirectoryObject = NtQueryDirectoryObject
        444  1B3 000A73A0 NtQueryDriverEntryOrder = NtQueryDriverEntryOrder
        445  1B4 000A73C0 NtQueryEaFile = NtQueryEaFile
        446  1B5 000A5890 NtQueryEvent = NtQueryEvent
        447  1B6 000A73E0 NtQueryFullAttributesFile = NtQueryFullAttributesFile
        448  1B7 000A7400 NtQueryInformationAtom = NtQueryInformationAtom
        449  1B8 000A7420 NtQueryInformationEnlistment = NtQueryInformationEnlistment
        450  1B9 000A4FF0 NtQueryInformationFile = NtQueryInformationFile
        451  1BA 000A7440 NtQueryInformationJobObject = NtQueryInformationJobObject
        452  1BB 000A7460 NtQueryInformationPort = NtQueryInformationPort
        453  1BC 000A50F0 NtQueryInformationProcess = NtQueryInformationProcess
        454  1BD 000A7480 NtQueryInformationResourceManager = NtQueryInformationResourceManager
        455  1BE 000A5270 NtQueryInformationThread = NtQueryInformationThread
        456  1BF 000A51F0 NtQueryInformationToken = NtQueryInformationToken
        457  1C0 000A74A0 NtQueryInformationTransaction = NtQueryInformationTransaction
        458  1C1 000A74C0 NtQueryInformationTransactionManager = NtQueryInformationTransactionManager
        459  1C2 000A74E0 NtQueryInformationWorkerFactory = NtQueryInformationWorkerFactory
        460  1C3 000A7500 NtQueryInstallUILanguage = NtQueryInstallUILanguage
        461  1C4 000A7520 NtQueryIntervalProfile = NtQueryIntervalProfile
        462  1C5 000A7540 NtQueryIoCompletion = NtQueryIoCompletion
        463  1C6 000A5090 NtQueryKey = NtQueryKey
        464  1C7 000A7560 NtQueryLicenseValue = NtQueryLicenseValue
        465  1C8 000A7580 NtQueryMultipleValueKey = NtQueryMultipleValueKey
        466  1C9 000A75A0 NtQueryMutant = NtQueryMutant
        467  1CA 000A4FD0 NtQueryObject = NtQueryObject
        468  1CB 000A75C0 NtQueryOpenSubKeys = NtQueryOpenSubKeys
        469  1CC 000A75E0 NtQueryOpenSubKeysEx = NtQueryOpenSubKeysEx
        470  1CD 000A53F0 NtQueryPerformanceCounter = NtQueryPerformanceCounter
        471  1CE 000A7600 NtQueryPortInformationProcess = NtQueryPortInformationProcess
        472  1CF 000A7620 NtQueryQuotaInformationFile = NtQueryQuotaInformationFile
        473  1D0 000A57F0 NtQuerySection = NtQuerySection
        474  1D1 000A7640 NtQuerySecurityAttributesToken = NtQuerySecurityAttributesToken
        475  1D2 000A7660 NtQuerySecurityObject = NtQuerySecurityObject
        476  1D3 000A7680 NtQuerySemaphore = NtQuerySemaphore
        477  1D4 000A76A0 NtQuerySymbolicLinkObject = NtQuerySymbolicLinkObject
        478  1D5 000A76C0 NtQuerySystemEnvironmentValue = NtQuerySystemEnvironmentValue
        479  1D6 000A76E0 NtQuerySystemEnvironmentValueEx = NtQuerySystemEnvironmentValueEx
        480  1D7 000A5490 NtQuerySystemInformation = NtQuerySystemInformation
        481  1D8 000A7700 NtQuerySystemInformationEx = NtQuerySystemInformationEx
        482  1D9 000A5910 NtQuerySystemTime = NtQuerySystemTime
        483  1DA 000A54D0 NtQueryTimer = NtQueryTimer
        484  1DB 000A7720 NtQueryTimerResolution = NtQueryTimerResolution
        485  1DC 000A50B0 NtQueryValueKey = NtQueryValueKey
        486  1DD 000A5230 NtQueryVirtualMemory = NtQueryVirtualMemory
        487  1DE 000A56F0 NtQueryVolumeInformationFile = NtQueryVolumeInformationFile
        488  1DF 000A7740 NtQueryWnfStateData = NtQueryWnfStateData
        489  1E0 000A7760 NtQueryWnfStateNameInformation = NtQueryWnfStateNameInformation
        490  1E1 000A5670 NtQueueApcThread = NtQueueApcThread
        491  1E2 000A7780 NtQueueApcThreadEx = NtQueueApcThreadEx
        492  1E3 000A77A0 NtRaiseException = NtRaiseException
        493  1E4 000A77C0 NtRaiseHardError = NtRaiseHardError
        494  1E5 000A4E90 NtReadFile = NtReadFile
        495  1E6 000A5390 NtReadFileScatter = NtReadFileScatter
        496  1E7 000A77E0 NtReadOnlyEnlistment = NtReadOnlyEnlistment
        497  1E8 000A5850 NtReadRequestData = NtReadRequestData
        498  1E9 000A55B0 NtReadVirtualMemory = NtReadVirtualMemory
        499  1EA 000A7800 NtRecoverEnlistment = NtRecoverEnlistment
        500  1EB 000A7820 NtRecoverResourceManager = NtRecoverResourceManager
        501  1EC 000A7840 NtRecoverTransactionManager = NtRecoverTransactionManager
        502  1ED 000A7860 NtRegisterProtocolAddressInformation = NtRegisterProtocolAddressInformation
        503  1EE 000A7880 NtRegisterThreadTerminatePort = NtRegisterThreadTerminatePort
        504  1EF 000A78A0 NtReleaseKeyedEvent = NtReleaseKeyedEvent
        505  1F0 000A51D0 NtReleaseMutant = NtReleaseMutant
        506  1F1 000A4F10 NtReleaseSemaphore = NtReleaseSemaphore
        507  1F2 000A78C0 NtReleaseWorkerFactoryWorker = NtReleaseWorkerFactoryWorker
        508  1F3 000A4EF0 NtRemoveIoCompletion = NtRemoveIoCompletion
        509  1F4 000A78E0 NtRemoveIoCompletionEx = NtRemoveIoCompletionEx
        510  1F5 000A7900 NtRemoveProcessDebug = NtRemoveProcessDebug
        511  1F6 000A7920 NtRenameKey = NtRenameKey
        512  1F7 000A7940 NtRenameTransactionManager = NtRenameTransactionManager
        513  1F8 000A7960 NtReplaceKey = NtReplaceKey
        514  1F9 000A7980 NtReplacePartitionUnit = NtReplacePartitionUnit
        515  1FA 000A4F50 NtReplyPort = NtReplyPort
        516  1FB 000A4F30 NtReplyWaitReceivePort = NtReplyWaitReceivePort
        517  1FC 000A5330 NtReplyWaitReceivePortEx = NtReplyWaitReceivePortEx
        518  1FD 000A79A0 NtReplyWaitReplyPort = NtReplyWaitReplyPort
        519  1FE 000A79C0 NtRequestPort = NtRequestPort
        520  1FF 000A5210 NtRequestWaitReplyPort = NtRequestWaitReplyPort
        521  200 000A79E0 NtResetEvent = NtResetEvent
        522  201 000A7A00 NtResetWriteWatch = NtResetWriteWatch
        523  202 000A7A20 NtRestoreKey = NtRestoreKey
        524  203 000A7A40 NtResumeProcess = NtResumeProcess
        525  204 000A5810 NtResumeThread = NtResumeThread
        526  205 000A7A60 NtRevertContainerImpersonation = NtRevertContainerImpersonation
        527  206 000A7A80 NtRollbackComplete = NtRollbackComplete
        528  207 000A7AA0 NtRollbackEnlistment = NtRollbackEnlistment
        529  208 000A7AC0 NtRollbackTransaction = NtRollbackTransaction
        530  209 000A7AE0 NtRollforwardTransactionManager = NtRollforwardTransactionManager
        531  20A 000A7B00 NtSaveKey = NtSaveKey
        532  20B 000A7B20 NtSaveKeyEx = NtSaveKeyEx
        533  20C 000A7B40 NtSaveMergedKeys = NtSaveMergedKeys
        534  20D 000A7B60 NtSecureConnectPort = NtSecureConnectPort
        535  20E 000A7B80 NtSerializeBoot = NtSerializeBoot
        536  20F 000A7BA0 NtSetBootEntryOrder = NtSetBootEntryOrder
        537  210 000A7BC0 NtSetBootOptions = NtSetBootOptions
        538  211 000A7BE0 NtSetCachedSigningLevel = NtSetCachedSigningLevel
        539  212 000A7C00 NtSetContextThread = NtSetContextThread
        540  213 000A7C20 NtSetDebugFilterState = NtSetDebugFilterState
        541  214 000A7C40 NtSetDefaultHardErrorPort = NtSetDefaultHardErrorPort
        542  215 000A7C60 NtSetDefaultLocale = NtSetDefaultLocale
        543  216 000A7C80 NtSetDefaultUILanguage = NtSetDefaultUILanguage
        544  217 000A7CA0 NtSetDriverEntryOrder = NtSetDriverEntryOrder
        545  218 000A7CC0 NtSetEaFile = NtSetEaFile
        546  219 000A4F90 NtSetEvent = NtSetEvent
        547  21A 000A5370 NtSetEventBoostPriority = NtSetEventBoostPriority
        548  21B 000A7CE0 NtSetHighEventPair = NtSetHighEventPair
        549  21C 000A7D00 NtSetHighWaitLowEventPair = NtSetHighWaitLowEventPair
        550  21D 000A7D20 NtSetIRTimer = NtSetIRTimer
        551  21E 000A7D40 NtSetInformationDebugObject = NtSetInformationDebugObject
        552  21F 000A7D60 NtSetInformationEnlistment = NtSetInformationEnlistment
        553  220 000A52B0 NtSetInformationFile = NtSetInformationFile
        554  221 000A7D80 NtSetInformationJobObject = NtSetInformationJobObject
        555  222 000A7DA0 NtSetInformationKey = NtSetInformationKey
        556  223 000A5940 NtSetInformationObject = NtSetInformationObject
        557  224 000A5150 NtSetInformationProcess = NtSetInformationProcess
        558  225 000A7DC0 NtSetInformationResourceManager = NtSetInformationResourceManager
        559  226 000A7DE0 NtSetInformationSymbolicLink = NtSetInformationSymbolicLink
        560  227 000A4F70 NtSetInformationThread = NtSetInformationThread
        561  228 000A7E00 NtSetInformationToken = NtSetInformationToken
        562  229 000A7E20 NtSetInformationTransaction = NtSetInformationTransaction
        563  22A 000A7E40 NtSetInformationTransactionManager = NtSetInformationTransactionManager
        564  22B 000A7E60 NtSetInformationVirtualMemory = NtSetInformationVirtualMemory
        565  22C 000A7E80 NtSetInformationWorkerFactory = NtSetInformationWorkerFactory
        566  22D 000A7EA0 NtSetIntervalProfile = NtSetIntervalProfile
        567  22E 000A7EC0 NtSetIoCompletion = NtSetIoCompletion
        568  22F 000A7EE0 NtSetIoCompletionEx = NtSetIoCompletionEx
        569  230 000A7F00 NtSetLdtEntries = NtSetLdtEntries
        570  231 000A7F20 NtSetLowEventPair = NtSetLowEventPair
        571  232 000A7F40 NtSetLowWaitHighEventPair = NtSetLowWaitHighEventPair
        572  233 000A7F60 NtSetQuotaInformationFile = NtSetQuotaInformationFile
        573  234 000A7F80 NtSetSecurityObject = NtSetSecurityObject
        574  235 000A7FA0 NtSetSystemEnvironmentValue = NtSetSystemEnvironmentValue
        575  236 000A7FC0 NtSetSystemEnvironmentValueEx = NtSetSystemEnvironmentValueEx
        576  237 000A7FE0 NtSetSystemInformation = NtSetSystemInformation
        577  238 000A8000 NtSetSystemPowerState = NtSetSystemPowerState
        578  239 000A8020 NtSetSystemTime = NtSetSystemTime
        579  23A 000A8040 NtSetThreadExecutionState = NtSetThreadExecutionState
        580  23B 000A5A00 NtSetTimer = NtSetTimer
        581  23C 000A8060 NtSetTimer2 = NtSetTimer2
        582  23D 000A8080 NtSetTimerEx = NtSetTimerEx
        583  23E 000A80A0 NtSetTimerResolution = NtSetTimerResolution
        584  23F 000A80C0 NtSetUuidSeed = NtSetUuidSeed
        585  240 000A59C0 NtSetValueKey = NtSetValueKey
        586  241 000A80E0 NtSetVolumeInformationFile = NtSetVolumeInformationFile
        587  242 000A8100 NtSetWnfProcessNotificationEvent = NtSetWnfProcessNotificationEvent
        588  243 000A8120 NtShutdownSystem = NtShutdownSystem
        589  244 000A8140 NtShutdownWorkerFactory = NtShutdownWorkerFactory
        590  245 000A8160 NtSignalAndWaitForSingleObject = NtSignalAndWaitForSingleObject
        591  246 000A8180 NtSinglePhaseReject = NtSinglePhaseReject
        592  247 000A81A0 NtStartProfile = NtStartProfile
        593  248 000A81C0 NtStopProfile = NtStopProfile
        594  249 000A81E0 NtSubscribeWnfStateChange = NtSubscribeWnfStateChange
        595  24A 000A8200 NtSuspendProcess = NtSuspendProcess
        596  24B 000A8220 NtSuspendThread = NtSuspendThread
        597  24C 000A8240 NtSystemDebugControl = NtSystemDebugControl
        598  24D 000A8260 NtTerminateJobObject = NtTerminateJobObject
        599  24E 000A5350 NtTerminateProcess = NtTerminateProcess
        600  24F 000A5830 NtTerminateThread = NtTerminateThread
        601  250 000A8280 NtTestAlert = NtTestAlert
        602  251 000A82A0 NtThawRegistry = NtThawRegistry
        603  252 000A82C0 NtThawTransactions = NtThawTransactions
        604  253 000A82E0 NtTraceControl = NtTraceControl
        605  254 000A5980 NtTraceEvent = NtTraceEvent
        606  255 000A8300 NtTranslateFilePath = NtTranslateFilePath
        607  256 000A8320 NtUmsThreadYield = NtUmsThreadYield
        608  257 000A8340 NtUnloadDriver = NtUnloadDriver
        609  258 000A8360 NtUnloadKey = NtUnloadKey
        610  259 000A8380 NtUnloadKey2 = NtUnloadKey2
        611  25A 000A83A0 NtUnloadKeyEx = NtUnloadKeyEx
        612  25B 000A83C0 NtUnlockFile = NtUnlockFile
        613  25C 000A83E0 NtUnlockVirtualMemory = NtUnlockVirtualMemory
        614  25D 000A5310 NtUnmapViewOfSection = NtUnmapViewOfSection
        615  25E 000A8400 NtUnmapViewOfSectionEx = NtUnmapViewOfSectionEx
        616  25F 000A8420 NtUnsubscribeWnfStateChange = NtUnsubscribeWnfStateChange
        617  260 000A8440 NtUpdateWnfStateData = NtUpdateWnfStateData
        618  261 000A8460 NtVdmControl = NtVdmControl
        619  262 000A8480 NtWaitForAlertByThreadId = NtWaitForAlertByThreadId
        620  263 000A84A0 NtWaitForDebugEvent = NtWaitForDebugEvent
        621  264 000A84C0 NtWaitForKeyedEvent = NtWaitForKeyedEvent
        622  265 000A5920 NtWaitForMultipleObjects = NtWaitForMultipleObjects
        623  266 000A5110 NtWaitForMultipleObjects32 = NtWaitForMultipleObjects32
        624  267 000A4E50 NtWaitForSingleObject = NtWaitForSingleObject
        625  268 000A84E0 NtWaitForWorkViaWorkerFactory = NtWaitForWorkViaWorkerFactory
        626  269 000A8500 NtWaitHighEventPair = NtWaitHighEventPair
        627  26A 000A8520 NtWaitLowEventPair = NtWaitLowEventPair
        628  26B 000A4DF0 NtWorkerFactoryWorkerReady = NtWorkerFactoryWorkerReady
        629  26C 000A4ED0 NtWriteFile = NtWriteFile
        630  26D 000A5130 NtWriteFileGather = NtWriteFileGather
        631  26E 000A58B0 NtWriteRequestData = NtWriteRequestData
        632  26F 000A5510 NtWriteVirtualMemory = NtWriteVirtualMemory
        633  270 000A5690 NtYieldExecution = NtYieldExecution
        634  271 000A4AC0 NtdllDefWindowProc_A = NtdllDefWindowProc_A
        635  272 000A4AD0 NtdllDefWindowProc_W = NtdllDefWindowProc_W
        636  273 000A4B80 NtdllDialogWndProc_A = NtdllDialogWndProc_A
        637  274 000A4B90 NtdllDialogWndProc_W = NtdllDialogWndProc_W
        638  275 000D6220 PfxFindPrefix = PfxFindPrefix
        639  276 000D6300 PfxInitialize = PfxInitialize
        640  277 000D6320 PfxInsertPrefix = PfxInsertPrefix
        641  278 000D6440 PfxRemovePrefix = PfxRemovePrefix
        642  279 00047590 PssNtCaptureSnapshot = PssNtCaptureSnapshot
        643  27A 0008BA90 PssNtDuplicateSnapshot = PssNtDuplicateSnapshot
        644  27B 000F5780 PssNtFreeRemoteSnapshot = PssNtFreeRemoteSnapshot
        645  27C 00083E70 PssNtFreeSnapshot = PssNtFreeSnapshot
        646  27D 000F5990 PssNtFreeWalkMarker = PssNtFreeWalkMarker
        647  27E 0008CBE0 PssNtQuerySnapshot = PssNtQuerySnapshot
        648  27F 00083FF0 PssNtValidateDescriptor = PssNtValidateDescriptor
        649  280 000F59C0 PssNtWalkSnapshot = PssNtWalkSnapshot
        650  281 00086600 RtlAbortRXact = RtlAbortRXact
        651  282 00071720 RtlAbsoluteToSelfRelativeSD = RtlAbsoluteToSelfRelativeSD
        652  283 0007ADC0 RtlAcquirePebLock = RtlAcquirePebLock
        653  284 000786C0 RtlAcquirePrivilege = RtlAcquirePrivilege
        654  285 000533E0 RtlAcquireReleaseSRWLockExclusive = RtlAcquireReleaseSRWLockExclusive
        655  286 0006F150 RtlAcquireResourceExclusive = RtlAcquireResourceExclusive
        656  287 0006F000 RtlAcquireResourceShared = RtlAcquireResourceShared
        657  288 0002D760 RtlAcquireSRWLockExclusive = RtlAcquireSRWLockExclusive
        658  289 000274C0 RtlAcquireSRWLockShared = RtlAcquireSRWLockShared
        659  28A 00041C60 RtlActivateActivationContext = RtlActivateActivationContext
        660  28B 00041CB0 RtlActivateActivationContextEx = RtlActivateActivationContextEx
        661  28C 00014EC0 RtlActivateActivationContextUnsafeFast = RtlActivateActivationContextUnsafeFast
        662  28D 00018EF0 RtlAddAccessAllowedAce = RtlAddAccessAllowedAce
        663  28E 0007D1E0 RtlAddAccessAllowedAceEx = RtlAddAccessAllowedAceEx
        664  28F 0008AD70 RtlAddAccessAllowedObjectAce = RtlAddAccessAllowedObjectAce
        665  290 00085660 RtlAddAccessDeniedAce = RtlAddAccessDeniedAce
        666  291 00084C80 RtlAddAccessDeniedAceEx = RtlAddAccessDeniedAceEx
        667  292 0008ACC0 RtlAddAccessDeniedObjectAce = RtlAddAccessDeniedObjectAce
        668  293 00065350 RtlAddAce = RtlAddAce
        669  294 00082370 RtlAddActionToRXact = RtlAddActionToRXact
        670  295 000437B0 RtlAddAtomToAtomTable = RtlAddAtomToAtomTable
        671  296 000823F0 RtlAddAttributeActionToRXact = RtlAddAttributeActionToRXact
        672  297 00088960 RtlAddAuditAccessAce = RtlAddAuditAccessAce
        673  298 00088750 RtlAddAuditAccessAceEx = RtlAddAuditAccessAceEx
        674  299 0008AD10 RtlAddAuditAccessObjectAce = RtlAddAuditAccessObjectAce
        675  29A 000D8220 RtlAddCompoundAce = RtlAddCompoundAce
        676  29B 0007DFC0 RtlAddFunctionTable = RtlAddFunctionTable
        677  29C 00070FF0 RtlAddGrowableFunctionTable = RtlAddGrowableFunctionTable
        678  29D 000D9B80 RtlAddIntegrityLabelToBoundaryDescriptor = RtlAddIntegrityLabelToBoundaryDescriptor
        679  29E 00061DE0 RtlAddMandatoryAce = RtlAddMandatoryAce
        680  29F 000654B0 RtlAddProcessTrustLabelAce = RtlAddProcessTrustLabelAce
        681  2A0 0000DB20 RtlAddRefActivationContext = RtlAddRefActivationContext
        682  2A1 000820F0 RtlAddRefMemoryStream = CsrIdentifyAlertableThread
        683  2A2 000D8390 RtlAddResourceAttributeAce = RtlAddResourceAttributeAce
        684  2A3 000628B0 RtlAddSIDToBoundaryDescriptor = RtlAddSIDToBoundaryDescriptor
        685  2A4 000D86E0 RtlAddScopedPolicyIDAce = RtlAddScopedPolicyIDAce
        686  2A5 0008DF40 RtlAddVectoredContinueHandler = RtlAddVectoredContinueHandler
        687  2A6 000726D0 RtlAddVectoredExceptionHandler = RtlAddVectoredExceptionHandler
        688  2A7 0007BFD0 RtlAddressInSectionTable = RtlAddressInSectionTable
        689  2A8 00078C50 RtlAdjustPrivilege = RtlAdjustPrivilege
        690  2A9 000780C0 RtlAllocateActivationContextStack = RtlAllocateActivationContextStack
        691  2AA 00062AF0 RtlAllocateAndInitializeSid = RtlAllocateAndInitializeSid
        692  2AB 000D64F0 RtlAllocateAndInitializeSidEx = RtlAllocateAndInitializeSidEx
        693  2AC 00043E40 RtlAllocateHandle = RtlAllocateHandle
        694  2AD 000252D0 RtlAllocateHeap = RtlAllocateHeap
        695  2AE 000FD010 RtlAllocateMemoryBlockLookaside = RtlAllocateMemoryBlockLookaside
        696  2AF 000FD0F0 RtlAllocateMemoryZone = RtlAllocateMemoryZone
        697  2B0 00082A60 RtlAllocateWnfSerializationGroup = RtlAllocateWnfSerializationGroup
        698  2B1 00014920 RtlAnsiCharToUnicodeChar = RtlAnsiCharToUnicodeChar
        699  2B2 00082E40 RtlAnsiStringToUnicodeSize = RtlxAnsiStringToUnicodeSize
        700  2B3 00014830 RtlAnsiStringToUnicodeString = RtlAnsiStringToUnicodeString
        701  2B4 000DA210 RtlAppendAsciizToString = RtlAppendAsciizToString
        702  2B5 000C84C0 RtlAppendPathElement = RtlAppendPathElement
        703  2B6 000DA280 RtlAppendStringToString = RtlAppendStringToString
        704  2B7 0000E010 RtlAppendUnicodeStringToString = RtlAppendUnicodeStringToString
        705  2B8 000197F0 RtlAppendUnicodeToString = RtlAppendUnicodeToString
        706  2B9 000CFCB0 RtlApplicationVerifierStop = RtlApplicationVerifierStop
        707  2BA 00086520 RtlApplyRXact = RtlApplyRXact
        708  2BB 000865D0 RtlApplyRXactNoFlush = RtlApplyRXactNoFlush
        709  2BC 000C7FD0 RtlAppxIsFileOwnedByTrustedInstaller = RtlAppxIsFileOwnedByTrustedInstaller
        710  2BD 0007D210 RtlAreAllAccessesGranted = RtlAreAllAccessesGranted
        711  2BE 000D65C0 RtlAreAnyAccessesGranted = RtlAreAnyAccessesGranted
        712  2BF 00083B30 RtlAreBitsClear = RtlAreBitsClear
        713  2C0 00071B30 RtlAreBitsSet = RtlAreBitsSet
        714  2C1 000DB2E0 RtlAssert = RtlAssert
        715  2C2 0007DA90 RtlAvlInsertNodeEx = RtlAvlInsertNodeEx
        716  2C3 0007D700 RtlAvlRemoveNode = RtlAvlRemoveNode
        717  2C4 000DB410 RtlBarrier = RtlBarrier
        718  2C5 000DB550 RtlBarrierForDelete = RtlBarrierForDelete
        719  2C6 000F5240 RtlCancelTimer = RtlCancelTimer
        720  2C7 00069080 RtlCanonicalizeDomainName = RtlCanonicalizeDomainName
        721  2C8 0005DB60 RtlCapabilityCheck = RtlCapabilityCheck
        722  2C9 000A8A20 RtlCaptureContext = RtlCaptureContext
        723  2CA 00032A10 RtlCaptureStackBackTrace = RtlCaptureStackBackTrace
        724  2CB 00078AD0 RtlCharToInteger = RtlCharToInteger
        725  2CC 0007E920 RtlCheckForOrphanedCriticalSections = RtlCheckForOrphanedCriticalSections
        726  2CD 00045AD0 RtlCheckPortableOperatingSystem = RtlCheckPortableOperatingSystem
        727  2CE 00045DB0 RtlCheckRegistryKey = RtlCheckRegistryKey
        728  2CF 00002800 RtlCheckSandboxedToken = RtlCheckSandboxedToken
        729  2D0 0005DDE0 RtlCheckTokenCapability = RtlCheckTokenCapability
        730  2D1 000D65D0 RtlCheckTokenMembership = RtlCheckTokenMembership
        731  2D2 0005E0D0 RtlCheckTokenMembershipEx = RtlCheckTokenMembershipEx
        732  2D3 0007A710 RtlCleanUpTEBLangLists = RtlCleanUpTEBLangLists
        733  2D4 0005AAE0 RtlClearAllBits = RtlClearAllBits
        734  2D5 000DA350 RtlClearBit = RtlClearBit
        735  2D6 00040180 RtlClearBits = RtlClearBits
        736  2D7 000CB890 RtlCloneMemoryStream = RtlCloneMemoryStream
        737  2D8 0008D260 RtlCloneUserProcess = RtlCloneUserProcess
        738  2D9 000DF210 RtlCmDecodeMemIoResource = RtlCmDecodeMemIoResource
        739  2DA 000DF280 RtlCmEncodeMemIoResource = RtlCmEncodeMemIoResource
        740  2DB 000CCCD0 RtlCommitDebugInfo = RtlCommitDebugInfo
        741  2DC 000CB890 RtlCommitMemoryStream = RtlCloneMemoryStream
        742  2DD 0008DCF0 RtlCompactHeap = RtlCompactHeap
        743  2DE 000E1660 RtlCompareAltitudes = RtlCompareAltitudes
        744  2DF 000A8F80 RtlCompareMemory = RtlCompareMemory
        745  2E0 000A9000 RtlCompareMemoryUlong = RtlCompareMemoryUlong
        746  2E1 00088200 RtlCompareString = RtlCompareString
        747  2E2 0002ECD0 RtlCompareUnicodeString = RtlCompareUnicodeString
        748  2E3 0002ED10 RtlCompareUnicodeStrings = RtlCompareUnicodeStrings
        749  2E4 000CBDC0 RtlCompleteProcessCloning = RtlCompleteProcessCloning
        750  2E5 00065660 RtlCompressBuffer = RtlCompressBuffer
        751  2E6 00068390 RtlComputeCrc32 = RtlComputeCrc32
        752  2E7 000D2C70 RtlComputeImportTableHash = RtlComputeImportTableHash
        753  2E8 000CB530 RtlComputePrivatizedDllName_U = RtlComputePrivatizedDllName_U
        754  2E9 000889A0 RtlConnectToSm = RtlConnectToSm
